Date,Species,10th Percentile,90th Percentile,Minimum,Maximum,Mean,56-'59 AVERAGE,60-'69 AVERAGE,70-'79 AVERAGE,80-'89 AVERAGE,90-'99 AVERAGE,2000-2009 AVERAGE,2010-2020 AVERAGE,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Current Year
26-Jun,Sockeye,25.12,142.60,1.82,242.98,68.86,70.07,69.81,85.96,80.75,56.60,86.22,27.80,55.72,55.91,118.19,27.38,30.58,30.18,56.78,29.19,66.45,74.35,55.89,59.87,137.66,81.33,40.06,17.40,61.23,66.88,143.63,37.97,24.69,69.72,141.56,124.82,128.53,98.24,169.78,64.93,19.07,144.18,21.46,47.02,47.20,54.73,24.97,44.30,41.56,49.44,25.27,74.26,143.86,49.32,80.33,25.81,242.98,206.26,66.72,79.77,57.63,52.28,25.60,62.75,30.13,28.47,  24.21,  46.17,  50.03,  24.21,  43.12,  23.28,  71.14,  12.42,  3.23,  1.69,  2.20,1.82,40.11
27-Jun,Sockeye,27.71,158.98,1.82,272.16,77.59,77.37,74.76,97.80,93.01,64.32,95.16,32.28,69.51,62.26,124.33,30.28,30.58,31.18,56.78,36.98,77.79,79.65,66.02,65.28,139.95,87.58,49.83,21.75,63.54,72.86,168.69,40.25,30.19,102.60,160.52,136.14,146.37,110.64,194.78,86.00,26.51,158.38,25.51,57.74,51.51,60.38,26.22,47.52,48.55,65.58,26.19,79.79,159.59,60.84,92.87,29.08,272.16,228.95,69.88,89.38,62.72,56.73,28.92,69.58,34.18,29.48,  26.26,  65.33,  57.46,  26.26,  45.49,  25.84,  82.14,  14.39,  4.00,  1.69,  2.20,1.82,42.44
28-Jun,Sockeye,33.10,181.06,2.61,277.60,86.90,86.49,80.00,110.39,108.26,70.71,103.71,35.57,77.54,63.52,143.06,38.74,31.83,37.30,56.78,47.06,93.50,83.65,66.67,68.87,140.90,97.66,62.94,24.53,64.49,82.00,202.96,41.77,33.26,125.90,191.74,142.66,179.90,120.08,230.25,96.99,30.19,182.22,32.94,71.35,54.61,71.79,33.35,50.87,53.82,78.05,31.98,80.27,162.92,71.10,103.26,34.58,277.60,242.99,88.51,99.61,69.88,59.60,40.99,73.73,41.15,33.43,  32.13,  69.20,  62.59,  32.13,  49.42,  28.92,  85.76,  17.23,  4.39,  2.73,  2.72,2.61,46.29
29-Jun,Sockeye,36.18,201.92,2.61,286.92,96.59,96.01,85.15,120.88,118.77,80.48,117.97,40.55,89.39,67.77,159.51,44.29,32.55,44.75,57.11,57.96,100.22,85.48,70.98,71.91,149.78,104.96,65.09,29.17,65.89,88.69,243.83,45.77,36.47,140.11,214.04,148.15,206.73,130.42,244.96,102.54,31.14,197.12,35.89,85.86,65.09,75.68,37.06,54.18,58.78,92.18,34.76,88.52,183.77,87.44,122.93,38.29,286.31,286.92,96.46,110.97,80.14,66.17,64.25,77.07,63.09,38.69,  34.33,  72.22,  69.31,  34.33,  60.10,  34.99,  105.32,  19.05,  5.56,  4.04,  2.72,2.61,49.03
30-Jun,Sockeye,40.52,221.24,2.61,354.42,107.63,111.12,91.87,129.69,133.61,87.31,135.90,46.62,108.11,72.75,192.29,48.24,34.42,51.16,57.74,71.52,107.55,89.48,79.02,80.70,166.04,105.29,65.71,30.73,67.29,112.17,249.96,46.08,38.39,152.44,233.80,168.71,231.86,151.25,282.67,109.73,35.34,210.62,45.52,91.56,75.61,89.62,44.94,57.89,60.16,98.42,38.76,103.09,202.92,90.51,127.24,42.29,296.97,354.42,110.74,140.15,88.32,69.98,84.84,79.21,79.99,44.68,  35.85,  78.25,  76.94,  35.85,  81.37,  39.09,  125.68,  20.62,  6.73,  4.56,  3.77,2.61,55.86
01-Jul,Sockeye,46.53,233.53,10.38,427.68,118.82,121.64,99.83,139.64,145.37,97.56,152.78,55.09,115.44,80.91,215.14,51.95,37.18,60.71,58.68,76.49,122.13,94.06,92.09,98.98,173.99,108.21,70.32,34.33,70.66,134.76,251.91,49.14,38.39,177.46,261.88,175.95,263.46,166.58,310.43,116.19,39.91,212.73,55.89,94.47,84.78,96.92,50.15,60.68,61.41,106.21,43.92,151.30,213.89,92.95,136.98,51.13,305.30,427.68,121.06,150.86,99.29,74.77,101.69,80.34,91.59,65.52,  39.85,  105.90,  84.90,  39.85,  106.61,  41.44,  135.76,  25.22,  7.51,  7.97,  6.86,10.38,64.90
02-Jul,Sockeye,50.41,249.58,18.19,483.49,130.94,133.24,109.93,152.10,157.51,107.44,168.72,62.09,120.00,87.69,246.61,55.58,39.67,79.72,62.07,76.81,131.22,100.61,108.76,136.44,176.21,112.03,91.31,38.49,80.05,158.29,252.54,51.89,39.28,190.96,301.83,184.71,276.91,184.21,343.44,126.57,44.44,213.19,68.67,95.83,102.86,106.62,51.03,65.64,63.79,119.40,49.80,169.84,223.05,115.57,147.42,61.92,313.85,483.49,132.45,151.93,122.34,76.46,117.84,84.74,96.25,98.23,  43.40,  112.24,  93.57,  43.40,  133.23,  45.68,  146.33,  27.83,  14.48,  11.12,  7.64,18.19,83.66
03-Jul,Sockeye,53.79,266.39,31.70,504.88,144.29,147.30,117.17,162.26,172.73,121.10,187.74,67.80,126.38,93.98,273.04,72.69,42.70,87.74,64.41,77.46,141.17,105.65,131.05,152.44,176.83,116.48,112.34,41.29,85.49,169.84,258.14,52.83,40.25,223.63,318.70,188.52,324.26,214.21,367.26,138.24,54.76,213.19,73.17,100.63,114.93,114.31,51.65,68.48,66.21,131.93,55.18,211.31,259.75,135.63,153.60,70.34,330.51,504.88,173.74,156.14,136.69,82.18,164.17,88.47,97.36,133.57,  48.89,  119.54,  96.56,  48.89,  142.58,  54.26,  160.39,  31.66,  17.21,  13.09,  8.69,31.70,108.55
04-Jul,Sockeye,60.63,288.53,41.49,531.31,159.00,166.61,124.49,169.80,189.08,137.67,210.07,76.25,149.99,121.54,279.40,92.42,46.09,94.44,69.09,79.61,158.53,105.65,140.27,160.14,194.75,120.55,118.30,49.87,87.68,174.96,271.18,54.69,41.49,240.26,330.37,197.58,344.73,239.07,412.75,147.62,82.27,215.95,74.82,109.61,129.26,122.36,56.52,77.95,72.51,140.67,64.74,256.52,297.65,151.71,166.51,84.94,365.09,531.31,196.69,160.34,168.64,100.94,213.08,92.56,103.50,158.89,  53.70,  129.56,  101.68,  53.70,  177.13,  67.25,  166.64,  34.49,  26.75,  14.66,  9.08,48.00,137.66
05-Jul,Sockeye,66.58,298.07,43.05,574.69,175.04,183.99,134.29,177.37,206.33,155.30,238.01,87.36,170.60,153.04,288.55,100.68,49.10,105.91,78.23,83.26,180.52,111.26,146.71,167.42,203.85,140.87,133.44,52.34,91.09,181.48,280.72,59.66,43.05,250.50,335.55,214.24,368.59,268.07,431.53,179.62,97.86,219.63,79.84,122.06,139.51,144.29,62.29,89.00,91.51,165.05,70.86,264.50,307.59,215.79,184.00,95.44,409.55,574.69,227.83,183.62,192.41,116.99,262.69,99.20,120.60,182.92,  68.57,  138.60,  105.79,  68.57,  217.80,  78.95,  177.29,  37.90,  35.02,  17.02,  11.41,59.49,153.14
