SpeciesId	StatArea.CU	CU_Name	BroodYear	Escape	TR2	TR3	TR4	TR5	TR6	TR7	Total	Total.ER	Age2	Age3	Age4	Age5	Age6	Age7
SH	780	Mid Fraser Summer	1958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1972	960	NA	NA	NA	NA	NA	NA	2247	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1973	1435	NA	NA	NA	NA	NA	NA	2034	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1974	677	NA	NA	NA	NA	NA	NA	1813	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1975	581	NA	NA	NA	NA	NA	NA	1612	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1976	1022	NA	NA	NA	NA	NA	NA	1277	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1977	494	NA	NA	NA	NA	NA	NA	2312	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1978	1152	NA	NA	NA	NA	NA	NA	2872	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1979	715	NA	NA	NA	NA	NA	NA	3993	NA	NA	NA	NA	NA	NA	NA
