SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
SEL	SEL-01-001	Osoyoos	1964	NA	NA	NA	NA	NA	NA	23252	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1965	NA	NA	NA	NA	NA	NA	17879	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1966	NA	NA	NA	NA	NA	NA	73659	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1967	NA	NA	NA	NA	NA	NA	26964	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1968	NA	NA	NA	NA	NA	NA	45523	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1969	NA	NA	NA	NA	NA	NA	10711	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1970	NA	NA	NA	NA	NA	NA	29342	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1971	NA	NA	NA	NA	NA	NA	36091	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1972	NA	NA	NA	NA	NA	NA	21564	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1973	NA	NA	NA	NA	NA	NA	12133	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1974	NA	NA	NA	NA	NA	NA	7110	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1975	NA	NA	NA	NA	NA	NA	12739	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1976	NA	NA	NA	NA	NA	NA	16429	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1977	NA	NA	NA	NA	NA	NA	13176	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1978	NA	NA	NA	NA	NA	NA	4750	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1979	NA	NA	NA	NA	NA	NA	15009	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1980	NA	NA	NA	NA	NA	NA	15807	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1981	NA	NA	NA	NA	NA	NA	16938	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1982	NA	NA	NA	NA	NA	NA	11703	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1983	NA	NA	NA	NA	NA	NA	16761	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1984	NA	NA	NA	NA	NA	NA	53721	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1985	NA	NA	NA	NA	NA	NA	31946	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1986	NA	NA	NA	NA	NA	NA	15472	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1987	NA	NA	NA	NA	NA	NA	21090	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1988	NA	NA	NA	NA	NA	NA	20653	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1989	NA	NA	NA	NA	NA	NA	17947	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1990	NA	NA	NA	NA	NA	NA	6261	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1991	NA	NA	NA	NA	NA	NA	19738	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1992	NA	NA	NA	NA	NA	NA	33184	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1993	NA	NA	NA	NA	NA	NA	17151	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1994	NA	NA	NA	NA	NA	NA	1977	0	0	3500	1183	0.252658901	4683	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1995	NA	NA	NA	NA	NA	NA	4581	0	0	4000	2167	0.351386412	6167	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1996	NA	NA	NA	NA	NA	NA	17035	0	0	17076	2166	0.112567621	19242	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1997	NA	NA	NA	NA	NA	NA	11996	0	0	12178	3737	0.234802591	15915	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1998	NA	NA	NA	NA	NA	NA	3708	0	0	3932	2754	0.411920581	6686	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1999	NA	NA	NA	NA	NA	NA	5648	0	0	6876	2563	0.271531534	9439	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2000	NA	NA	NA	NA	NA	NA	29243	0	0	29440	6870	0.189205548	36310	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2001	NA	NA	NA	NA	NA	NA	41922	0	0	43381	11385	0.207885396	54766	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2002	NA	NA	NA	NA	NA	NA	4898	0	0	7467	3941	0.345453834	11408	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2003	NA	NA	NA	NA	NA	NA	17753	0	0	19442	3347	0.146868918	22789	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2004	NA	NA	NA	NA	NA	NA	41571	0	0	43179	8246	0.160349321	51425	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2005	NA	NA	NA	NA	NA	NA	31536	0	0	32399	5704	0.149700092	38103	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2006	NA	NA	NA	NA	NA	NA	20819	0	0	22784	3745	0.141164805	26529	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2007	NA	NA	NA	NA	NA	NA	13504	0	0	15913	4534	0.221743033	20447	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2008	NA	NA	NA	NA	NA	NA	127602	2963	0.022429468	132103	16676	0.114363307	145816	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2009	NA	NA	NA	NA	NA	NA	64141	4148	0.058674986	70695	34708	0.342779758	101255	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2010	NA	NA	NA	NA	NA	NA	209974	20209	0.086752894	232949	77221	0.266316105	289961	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2011	NA	NA	NA	NA	NA	NA	77650	7676	0.086875098	88357	31975	0.283829315	112656	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2012	NA	NA	NA	NA	NA	NA	94071	62732	0.39187489	160082	170495	0.636544227	267845	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2013	NA	NA	NA	NA	NA	NA	36557	5925	0.128314055	46176	30015	0.427163908	70266	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2014	NA	NA	NA	NA	NA	NA	146701	38673	0.205452816	188233	141300	0.485800729	290860	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2015	NA	NA	NA	NA	NA	NA	10443	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2016	NA	NA	NA	NA	NA	NA	55190	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2017	NA	NA	NA	NA	NA	NA	10040	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2018	NA	NA	NA	NA	NA	NA	31001	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2019	NA	NA	NA	NA	NA	NA	13108	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	2020	NA	NA	NA	NA	NA	NA	48138	NA	NA	NA	NA	NA	NA	NA	NA	NA
