OBJECTID,stream_name,parkinson2005cu,run_timing_full,COL_H,latitude,longitude,coord_uncertainty,Comments/Alternate,coord_source,
82,PATMORE CREEK,Stikine Winter,Winter,,57.33215981,-132.0513153,H,,FWA Streams_Line_BC,
89,MESS CREEK,Stikine Winter,Winter,,57.68122269,-130.9510107,H,,FWA Streams_Line_BC,
88,CHUTINE RIVER,Stikine Winter,Winter,,57.70193365,-131.8107269,H,,FWA Streams_Line_BC,
83,SHAKES CREEK,Stikine Winter,Winter,,57.78299,-131.40389,M,,ArcGIS world geocoding service ,
90,TAHLTAN RIVER,Stikine  Summer,Interior Summer,,58.05327151,-131.4617974,H,,FWA Streams_Line_BC,
100,SHESLAY RIVER,Taku  Summer,Interior Summer,,58.21310588,-131.9017002,H,,FWA Streams_Line_BC,
97,SUTLAHINE RIVER,Taku  Summer,Interior Summer,,58.48227282,-133.0278456,H,,FWA Streams_Line_BC,
98,KOWATUA CREEK,Taku  Summer,Interior Summer,,58.54241319,-132.4206497,H,,FWA Streams_Line_BC,
92,STUHINI CREEK,Taku Winter,Winter,,58.61827801,-133.5138321,H,,FWA Streams_Line_BC,
91,TAKU RIVER,Taku Winter,Winter,,58.7225166,-133.3918558,H,,FWA Streams_Line_BC,
93,TULSEQUAH RIVER,Taku Winter,Winter,,58.75559935,-133.6588307,H,,FWA Streams_Line_BC,
94,KING SALMON CREEK,Taku Winter,Winter,,58.79838705,-133.2583613,H,,FWA Streams_Line_BC,
95,INKLIN RIVER,Taku  Summer,Interior Summer,,58.82582941,-132.8718397,H,,FWA Streams_Line_BC,
99,NAHLIN RIVER,Taku  Summer,Interior Summer,,58.88245093,-131.5418025,H,,FWA Streams_Line_BC,
96,YETH CREEK,Taku  Summer,Interior Summer,,58.92833683,-132.7757648,H,,FWA Streams_Line_BC,
101,NAKINA RIVER,Taku  Summer,Interior Summer,,59.03864011,-133.0558339,H,,FWA Streams_Line_BC,
386,ALSEK RIVER,Alsek  Summer,Interior Summer,,59.43258,-137.97054,M,,ArcGIS world geocoding service ,
387,TATSENSHINI,Alsek  Summer,Interior Summer,,59.4826,-137.75379,M,,ArcGIS world geocoding service ,
67,TSEAX RIVER,Nass  Summer,Interior Summer,,59.63326,-121.33649,M,,ArcGIS world geocoding service ,
333,TATCHU CREEK,W. Vancouver Is. Winter,Winter,,"	49.88289",-127.16976,M,,ArcGIS world geocoding service ,
138,READ CREEK,S. Coast  Winter,Winter,,"	50.532930",-125.78627,M,,ArcGIS world geocoding service ,
279,STRANBY RIVER,E. Vancouver Is. Winter,Winter,,"	50.837110","	-128.150470",M,,ArcGIS world geocoding service ,
148,AHTA RIVER,S. Coast  Winter,Winter,,"	50.866340",-126.16972,M,,ArcGIS world geocoding service ,"I matched what I could to the FWA streams then searched the rest. I have added the source of the lat/long (FWA, ArcGIS geocode lookup, Google Maps, or Google search). I also added an uncertainty column with FWA=H, ArcGIS geocode=M/L (L if I zoomed in and it looked off or was only associated to another feature i.e. lake), google maps= M/L, Google search= L. There are comments for some of the low ratings."
212,BRODIE LAKE CREEK,N. Coast Winter,Winter,,"	53.666220",-129.70339,M,,ArcGIS world geocoding service ,
220,KWINAMASS RIVER,N. Coast Winter,Winter,,"	54.775560",-130.14611,M,,ArcGIS world geocoding service ,
235,END HILL CREEK,N. Coast Winter,Winter,,,,H,,FWA Streams_Line_BC,
140,GLENLAND CREEK,S. Coast  Winter,Winter,,,,H,,FWA Streams_Line_BC,
227,KADJUSDIS RIVER,N. Coast Winter,Winter,,,,,DFO Report indicates that SEL-19-24 CU is located at the system also.,Google Search,
210,KEESIL CREEK,N. Coast Winter,Winter,,,,H,,FWA Streams_Line_BC,
62,KINCOLITH RIVER,Nass Winter,Winter,,,,H,,FWA Streams_Line_BC,
152,MACKENZIE RIVER,S. Coast  Winter,Winter,,,,H,,FWA Streams_Line_BC,
264,MOHUN CREEK,E. Vancouver Is. Winter,Winter,,,,H,,FWA Streams_Line_BC,
234,SOUTH BONILLA CREEK,N. Coast Winter,Winter,,,,H,,FWA Streams_Line_BC,
157,,S. Coast  Winter,Winter,,,,,,,
159,,S. Coast  Winter,Winter,,,,,,,
238,,N. Coast Winter,Winter,,,,,,,
239,,N. Coast Winter,Winter,,,,,,,
